"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CertICAOVDS","CertICAOVDS","","","",0,*,"","","","","Certificate - ICAO Visible Digital Seal Logical Model","Data elements for the ICAO Visible Digital Seal Core Data Set.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CertICAOVDS.data.msg.pid.sex","CertICAOVDS.data.msg.pid.sex","","","",0,1,"","","","string {[]} {[]}
","Sex Doc 9303-4 Section 4.1.1.1 – Visual Inspection Zone M or F)","Sex Doc 9303-4 Section 4.1.1.1 – Visual Inspection Zone M or F)","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.pid.sex",0,1,"",""
"CertICAOVDS.data.msg.pid.dt","CertICAOVDS.data.msg.pid.dt","","","",0,1,"","","","string {[]} {[]}
","Document Type","Used types: P – Passport (Doc 9303-4) A – ID Card (Doc 9303-5) C – ID Card (Doc 9303-5) I – ID Card Doc 9303-5) AC - Crew Member Certificate (Doc 9303-5) V – Visa (Doc 9303-7) D – Driving License (ISO18013-1)","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.pid.dt",0,1,"",""
"CertICAOVDS.data.msg.pid.dn","CertICAOVDS.data.msg.pid.dn","","","",0,1,"","","","string {[]} {[]}
","Document Number","Document Number","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.pid.dn",0,1,"",""
"CertICAOVDS.data.msg.pid.ai","CertICAOVDS.data.msg.pid.ai","","","",0,1,"","","","string {[]} {[]}
","Additional Identifier","Additional Identifier","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.pid.ai",0,1,"",""
"CertICAOVDS.data.msg.uvci","CertICAOVDS.data.msg.uvci","","","",0,1,"","","","string {[]} {[]}
","EU's UVCI identifier","EU's UVCI identifier","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.uvci",0,1,"",""
"CertICAOVDS.data.msg.ve","CertICAOVDS.data.msg.ve","","","",0,*,"","","","BackboneElement {[]} {[]}
","VaccinationEvent","VaccinationEvent","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve",0,*,"",""
"CertICAOVDS.data.msg.ve.des","CertICAOVDS.data.msg.ve.des","","","",0,1,"","","","string {[]} {[]}
","Prophilaxis // (http://id.who.int/icd/entity/164949870)","Prophilaxis // (http://id.who.int/icd/entity/164949870)","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve.des",0,1,"",""
"CertICAOVDS.data.msg.ve.dis","CertICAOVDS.data.msg.ve.dis","","","",0,1,"","","","string {[]} {[]}
","Diesease or Agent Targeted (ICD-11)","Diesease or Agent Targeted (ICD-11)","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve.dis",0,1,"",""
"CertICAOVDS.data.msg.ve.nam","CertICAOVDS.data.msg.ve.nam","","","",0,1,"","","","string {[]} {[]}
","Vaccine Brand","Vaccine Brand","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve.nam",0,1,"",""
"CertICAOVDS.data.msg.ve.vd","CertICAOVDS.data.msg.ve.vd","","","",0,*,"","","","BackboneElement {[]} {[]}
","VaccinationDetails","VaccinationDetails","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve.vd",0,*,"",""
"CertICAOVDS.data.msg.ve.vd.adm","CertICAOVDS.data.msg.ve.vd.adm","","","",0,1,"","","","string {[]} {[]}
","Administering Center","Administering Center","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve.vd.adm",0,1,"",""
"CertICAOVDS.data.msg.ve.vd.ctr","CertICAOVDS.data.msg.ve.vd.ctr","","","",0,1,"","","","string {[]} {[]}
","Country AUS","Country AUS","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve.vd.ctr",0,1,"",""
"CertICAOVDS.data.msg.ve.vd.dvc","CertICAOVDS.data.msg.ve.vd.dvc","","","",0,1,"","","","string {[]} {[]}
","Date of Vaccination","Date of Vaccination","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve.vd.dvc",0,1,"",""
"CertICAOVDS.data.msg.ve.vd.lot","CertICAOVDS.data.msg.ve.vd.lot","","","",0,1,"","","","string {[]} {[]}
","Lot #","Lot #","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve.vd.lot",0,1,"",""
"CertICAOVDS.data.msg.ve.vd.seq","CertICAOVDS.data.msg.ve.vd.seq","","","",0,1,"","","","positiveInt {[]} {[]}
","Dose Sequence","Dose Sequence","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ve.vd.seq",0,1,"",""
"CertICAOVDS.data.msg.ucti","CertICAOVDS.data.msg.ucti","","","",0,1,"","","","string {[]} {[]}
","EU's UCTI identifier","EU's UCTI identifier","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.ucti",0,1,"",""
"CertICAOVDS.data.msg.sp","CertICAOVDS.data.msg.sp","","","",0,1,"","","","BackboneElement {[]} {[]}
","ServiceProvider","ServiceProvider","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.sp",0,1,"",""
"CertICAOVDS.data.msg.sp.spn","CertICAOVDS.data.msg.sp.spn","","","",0,1,"","","","string {[]} {[]}
","Name of the Service Provider","Name of the Service Provider","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.sp.spn",0,1,"",""
"CertICAOVDS.data.msg.sp.ctr","CertICAOVDS.data.msg.sp.ctr","","","",0,1,"","","","string {[]} {[]}
","Country of the Test","Country of the Test","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.sp.ctr",0,1,"",""
"CertICAOVDS.data.msg.sp.cd","CertICAOVDS.data.msg.sp.cd","","","",0,1,"","","","BackboneElement {[]} {[]}
","Contact","Contact Info","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.sp.cd",0,1,"",""
"CertICAOVDS.data.msg.sp.cd.p","CertICAOVDS.data.msg.sp.cd.p","","","",0,1,"","","","string {[]} {[]}
","phone","phone","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.sp.cd.p",0,1,"",""
"CertICAOVDS.data.msg.sp.cd.e","CertICAOVDS.data.msg.sp.cd.e","","","",0,1,"","","","string {[]} {[]}
","email","email","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.sp.cd.e",0,1,"",""
"CertICAOVDS.data.msg.sp.cd.a","CertICAOVDS.data.msg.sp.cd.a","","","",0,1,"","","","string {[]} {[]}
","address","address","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.sp.cd.a",0,1,"",""
"CertICAOVDS.data.msg.dat","CertICAOVDS.data.msg.dat","","","",0,1,"","","","BackboneElement {[]} {[]}
","DateTimeTestReport","DateTimeTestReport","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.dat",0,1,"",""
"CertICAOVDS.data.msg.dat.sc","CertICAOVDS.data.msg.dat.sc","","","",0,1,"","","","string {[]} {[]}
","Specimen Collection Time","Specimen Collection Time","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.dat.sc",0,1,"",""
"CertICAOVDS.data.msg.dat.ri","CertICAOVDS.data.msg.dat.ri","","","",0,1,"","","","string {[]} {[]}
","Report Issuance Time","Report Issuance Time","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.dat.ri",0,1,"",""
"CertICAOVDS.data.msg.tr","CertICAOVDS.data.msg.tr","","","",0,1,"","","","BackboneElement {[]} {[]}
","TestResult","TestResult","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.tr",0,1,"",""
"CertICAOVDS.data.msg.tr.tc","CertICAOVDS.data.msg.tr.tc","","","",0,1,"","","","string {[]} {[]}
","Test Type (molecular(PCR) molecular(other) antigen antibody)","Test Type (molecular(PCR) molecular(other) antigen antibody)","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.tr.tc",0,1,"",""
"CertICAOVDS.data.msg.tr.r","CertICAOVDS.data.msg.tr.r","","","",0,1,"","","","string {[]} {[]}
","Results (positive negative normal abnormal","Results (positive negative normal abnormal","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.tr.r",0,1,"",""
"CertICAOVDS.data.msg.tr.m","CertICAOVDS.data.msg.tr.m","","","",0,1,"","","","string {[]} {[]}
","Sampling Method nasopharyngeal oropharyngeal saliva blood other","Sampling Method nasopharyngeal oropharyngeal saliva blood other","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.tr.m",0,1,"",""
"CertICAOVDS.data.msg.opt","CertICAOVDS.data.msg.opt","","","",0,1,"","","","string {[]} {[]}
","Optional DataField","Optional DataField","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.opt",0,1,"",""
"CertICAOVDS.sig","CertICAOVDS.sig","","","",0,1,"","","","BackboneElement {[]} {[]}
","Signature","Signature","","","","","","","","","",,,,,"",,,,"CertICAOVDS.sig",0,1,"",""
"CertICAOVDS.sig.alg","CertICAOVDS.sig.alg","","","",0,1,"","","","string {[]} {[]}
","Algorithm","Algorithm","","","","","","","","","",,,,,"",,,,"CertICAOVDS.sig.alg",0,1,"",""
"CertICAOVDS.sig.cer","CertICAOVDS.sig.cer","","","",0,1,"","","","string {[]} {[]}
","Certificate in PEM format","Certificate in PEM format","","","","","","","","","",,,,,"",,,,"CertICAOVDS.sig.cer",0,1,"",""
"CertICAOVDS.sig.sigvl","CertICAOVDS.sig.sigvl","","","",0,1,"","","","string {[]} {[]}
","Signature as Base64url","Signature as Base64url","","","","","","","","","",,,,,"",,,,"CertICAOVDS.sig.sigvl",0,1,"",""
