"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CertDIVOC.credentialSubject.address.streetAddress2","CertDIVOC.credentialSubject.address.streetAddress2","","","",0,1,"","","","string {[]} {[]}
","Line 2 of the address","Line 2 of the address","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.address.streetAddress2",0,1,"",""
"CertDIVOC.credentialSubject.address.district","CertDIVOC.credentialSubject.address.district","","","",0,1,"","","","string {[]} {[]}
","District name (aka county)","District name (aka county)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.address.district",0,1,"",""
"CertDIVOC.credentialSubject.address.city","CertDIVOC.credentialSubject.address.city","","","",0,1,"","","","string {[]} {[]}
","Name of city, town etc.","Name of city, town etc.","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.address.city",0,1,"",""
"CertDIVOC.credentialSubject.address.addressRegion","CertDIVOC.credentialSubject.address.addressRegion","","","",0,1,"","","","string {[]} {[]}
","Sub-unit of country (abbreviations ok)","Sub-unit of country (abbreviations ok)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.address.addressRegion",0,1,"",""
"CertDIVOC.credentialSubject.address.addressCountry","CertDIVOC.credentialSubject.address.addressCountry","","","",0,1,"","","","string {[]} {[]}
","Country (e.g. may be ISO 3166 2 or 3 letter code)","Country (e.g. may be ISO 3166 2 or 3 letter code)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.address.addressCountry",0,1,"",""
"CertDIVOC.credentialSubject.address.postalCode","CertDIVOC.credentialSubject.address.postalCode","","","",0,1,"","","","string {[]} {[]}
","Postal code for area","Postal code for area","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.address.postalCode",0,1,"",""
"CertDIVOC.evidence","CertDIVOC.evidence","","","",0,*,"","","","BackboneElement {[]} {[]}
","Evidence","Vaccination Information","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence",0,*,"",""
"CertDIVOC.evidence.id","CertDIVOC.evidence.id","","","",0,1,"","","","string {[]} {[]}
","id","id","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.id",0,1,"",""
"CertDIVOC.evidence.feedbackUrl","CertDIVOC.evidence.feedbackUrl","","","",0,1,"","","","string {[]} {[]}
","URL for feedback","URL for feedback","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.feedbackUrl",0,1,"",""
"CertDIVOC.evidence.infoUrl","CertDIVOC.evidence.infoUrl","","","",0,1,"","","","string {[]} {[]}
","URL for more information on this record","URL for more information on this record","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.infoUrl",0,1,"",""
"CertDIVOC.evidence.certificateId","CertDIVOC.evidence.certificateId","","","",0,1,"","","","string {[]} {[]}
","Certificate Unique Identifier","Certificate Unique Identifier","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.certificateId",0,1,"",""
"CertDIVOC.evidence.type","CertDIVOC.evidence.type","","","",1,*,"","","","string {[]} {[]}
","type","Type of evidence record. Generally 'Vaccination'","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.type",1,*,"",""
"CertDIVOC.evidence.batch","CertDIVOC.evidence.batch","","","",0,1,"","","","string {[]} {[]}
","Vaccine lot number","Vaccine lot number","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.batch",0,1,"",""
"CertDIVOC.evidence.vaccine","CertDIVOC.evidence.vaccine","","","",0,1,"","","","string {[]} {[]}
","Vaccine description. Might include vaccine type and brand","Vaccine description. Might include vaccine type and brand","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.vaccine",0,1,"",""
"CertDIVOC.evidence.manufacturer","CertDIVOC.evidence.manufacturer","","","",0,1,"","","","string {[]} {[]}
","Name of the Vaccine Manufacturer","Name of the Vaccine Manufacturer","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.manufacturer",0,1,"",""
"CertDIVOC.evidence.date","CertDIVOC.evidence.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date of immunization","Date of immunization","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.date",0,1,"",""
"CertDIVOC.evidence.effectiveStart","CertDIVOC.evidence.effectiveStart","","","",0,1,"","","","dateTime {[]} {[]}
","Effective immunization start date","Effective immunization start date","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.effectiveStart",0,1,"",""
"CertDIVOC.evidence.effectiveUntil","CertDIVOC.evidence.effectiveUntil","","","",0,1,"","","","dateTime {[]} {[]}
","Effective immunization end date","Effective immunization end date","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.effectiveUntil",0,1,"",""
"CertDIVOC.evidence.dose","CertDIVOC.evidence.dose","","","",0,1,"","","","positiveInt {[]} {[]}
","Dose Number","Dose Number","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.dose",0,1,"",""
"CertDIVOC.evidence.totalDoses","CertDIVOC.evidence.totalDoses","","","",0,1,"","","","positiveInt {[]} {[]}
","Total doses for this vaccine protocol regimen","Total doses for this vaccine protocol regimen","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.totalDoses",0,1,"",""
"CertDIVOC.evidence.verifier","CertDIVOC.evidence.verifier","","","",0,1,"","","","BackboneElement {[]} {[]}
","Verifier","Practitioner that oversaw the application","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.verifier",0,1,"",""
"CertDIVOC.evidence.verifier.name","CertDIVOC.evidence.verifier.name","","","",0,1,"","","","string {[]} {[]}
","Name of the practitioner","Name of the practitioner","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.verifier.name",0,1,"",""
"CertDIVOC.evidence.facility","CertDIVOC.evidence.facility","","","",0,1,"","","","BackboneElement {[]} {[]}
","Facility","Facility where the immunization took place","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility",0,1,"",""
"CertDIVOC.evidence.facility.name","CertDIVOC.evidence.facility.name","","","",0,1,"","","","string {[]} {[]}
","Name of the facility/entity","Name of the facility/entity","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility.name",0,1,"",""
"CertDIVOC.evidence.facility.address","CertDIVOC.evidence.facility.address","","","",0,1,"","","","Address {[]} {[]}
","Address of the facility","Address of the facility","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility.address",0,1,"",""
"CertDIVOC.evidence.facility.address.streetAddress","CertDIVOC.evidence.facility.address.streetAddress","","","",0,1,"","","","string {[]} {[]}
","Line 1 of the address","Line 1 of the address","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility.address.streetAddress",0,1,"",""
"CertDIVOC.evidence.facility.address.streetAddress2","CertDIVOC.evidence.facility.address.streetAddress2","","","",0,1,"","","","string {[]} {[]}
","Line 2 of the address","Line 2 of the address","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility.address.streetAddress2",0,1,"",""
"CertDIVOC.evidence.facility.address.district","CertDIVOC.evidence.facility.address.district","","","",0,1,"","","","string {[]} {[]}
","District name (aka county)","District name (aka county)","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility.address.district",0,1,"",""
"CertDIVOC.evidence.facility.address.city","CertDIVOC.evidence.facility.address.city","","","",0,1,"","","","string {[]} {[]}
","Name of city, town etc.","Name of city, town etc.","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility.address.city",0,1,"",""
"CertDIVOC.evidence.facility.address.addressRegion","CertDIVOC.evidence.facility.address.addressRegion","","","",0,1,"","","","string {[]} {[]}
","Sub-unit of country (abbreviations ok)","Sub-unit of country (abbreviations ok)","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility.address.addressRegion",0,1,"",""
"CertDIVOC.evidence.facility.address.addressCountry","CertDIVOC.evidence.facility.address.addressCountry","","","",0,1,"","","","string {[]} {[]}
","Country (e.g. may be ISO 3166 2 or 3 letter code)","Country (e.g. may be ISO 3166 2 or 3 letter code)","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility.address.addressCountry",0,1,"",""
"CertDIVOC.evidence.facility.address.postalCode","CertDIVOC.evidence.facility.address.postalCode","","","",0,1,"","","","string {[]} {[]}
","Postal code for area","Postal code for area","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.facility.address.postalCode",0,1,"",""
"CertDIVOC.evidence.icd11Code","CertDIVOC.evidence.icd11Code","","","",0,1,"","","","string {[]} {[]}
","ICD11 code of this vaccine type","ICD11 code of this vaccine type","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.icd11Code",0,1,"",""
"CertDIVOC.evidence.prophylaxis","CertDIVOC.evidence.prophylaxis","","","",0,1,"","","","string {[]} {[]}
","Descriptive details of the vaccine type","Descriptive details of the vaccine type","","","","","","","","","",,,,,"",,,,"CertDIVOC.evidence.prophylaxis",0,1,"",""
"CertDIVOC.proof","CertDIVOC.proof","","","",1,*,"","","","BackboneElement {[]} {[]}
","Proof","One or more cryptographic proofs that can be used to detect tampering and verify the authorship of a credential or presentation","","","","","","","","","",,,,,"",,,,"CertDIVOC.proof",1,*,"",""
"CertDIVOC.proof.type","CertDIVOC.proof.type","","","",0,1,"","","","string {[]} {[]}
","Type of proof","Type of proof","","","","","","","","","",,,,,"",,,,"CertDIVOC.proof.type",0,1,"",""
"CertDIVOC.proof.created","CertDIVOC.proof.created","","","",0,1,"","","","string {[]} {[]}
","Signature date and time","Signature date and time","","","","","","","","","",,,,,"",,,,"CertDIVOC.proof.created",0,1,"",""
"CertDIVOC.proof.verificationMethod","CertDIVOC.proof.verificationMethod","","","",1,1,"","","","string {[]} {[]}
","Resolvable issuer identifier","Resolvable issuer identifier","","","","","","","","","",,,,,"",,,,"CertDIVOC.proof.verificationMethod",1,1,"",""
"CertDIVOC.proof.proofPurpose","CertDIVOC.proof.proofPurpose","","","",0,1,"","","","string {[]} {[]}
","Purpose of the signature","Clearly expresses the purpose for the proof and ensures this information is protected by the signature","","","","","","","","","",,,,,"",,,,"CertDIVOC.proof.proofPurpose",0,1,"",""
"CertDIVOC.proof.jws","CertDIVOC.proof.jws","","","",1,1,"","","","string {[]} {[]}
","Signature","Signature","","","","","","","","","",,,,,"",,,,"CertDIVOC.proof.jws",1,1,"",""
